A440 一	A441 乙	A442 丁	
AA79 泊	AA7A 沬	AA7B 泯	AA7C 泜	AA7D 泖	AA7E 泠	AA7F ?	AA80 ?	AA81 ?	AA82 ?	
AA83 ?	AA84 ?	AA85 ?	AA86 ?	AA87 ?	AA88 ?	AA89 ?	AA8A ?	AA8B ?	AA8C ?	
AA8D ?	AA8E ?	AA8F ?	AA90 ?	AA91 ?	AA92 ?	AA93 ?	AA94 ?	AA95 ?	AA96 ?	
AA97 ?	AA98 ?	AA99 ?	AA9A ?	AA9B ?	AA9C ?	AA9D ?	AA9E ?	AA9F ?	AAA0 ?	
AAA1 炕	AAA2 炎	AAA3 炒	AAA4 炊	AAA5 炙	AAA6 爬	AAA7 爭	AAA8 爸	AAA9 版	AAAA 牧	
AAAB 物	AAAC 狀	AAAD 狎	AAAE 狙	AAAF 狗	AAB0 狐	AAB1 玩	AAB2 玨	AAB3 玟	AAB4 玫	
AAB5 玥	AAB6 甽	AAB7 疝	AAB8 疙	AAB9 疚	AABA 的	AABB 盂	AABC 盲	AABD 直	AABE 知	
AABF 矽	AAC0 社	AAC1 祀	AAC2 祁	AAC3 秉	AAC4 秈	AAC5 空	AAC6 穹	AAC7 竺	AAC8 糾	
AAC9 罔	AACA 羌	AACB 羋	AACC 者	AACD 肺	AACE 肥	AACF 肢	AAD0 肱	AAD1 股	AAD2 肫	
AAD3 肩	AAD4 肴	AAD5 肪	AAD6 肯	AAD7 臥	AAD8 臾	AAD9 舍	AADA 芳	AADB 芝	AADC 芙	
AADD 芭	AADE 芽	AADF 芟	AAE0 芹	AAE1 花	AAE2 芬	AAE3 芥	AAE4 芯	AAE5 芸	AAE6 芣	
AAE7 芰	AAE8 芾	AAE9 芷	AAEA 虎	AAEB 虱	AAEC 初	AAED 表	AAEE 軋	AAEF 迎	AAF0 返	
AAF1 近	AAF2 邵	AAF3 邸	AAF4 邱	AAF5 邶	AAF6 采	AAF7 金	AAF8 長	AAF9 門	AAFA 阜	
AAFB 陀	AAFC 阿	AAFD 阻	AAFE 附	AAFF ?	AB00 ? 	AB01 ?	AB02 ?	AB03 ?	AB04 ?	
AB05 ?	AB06 ?	AB07 ?	AB08 ?	AB09 ?	AB0A ?
	AB0B ?	AB0C ?	AB0D ?	AB0E ?	
AB0F ?	AB10 ?	AB11 ?	AB12 ?	AB13 ?	AB14 ?	AB15 ?	AB16 ?	AB17 ?	AB18 ?	
AB19 ?	AB1A ?	AB1B ?	AB1C ?	AB1D ?	AB1E ?	AB1F ?	AB20 ?	AB21 ?	AB22 ?	
AB23 ?	AB24 ?	AB25 ?	AB26 ?	AB27 ?	AB28 ?	AB29 ?	AB2A ?	AB2B ?	AB2C ?	
AB2D ?	AB2E ?	AB2F ?	AB30 ?	AB31 ?	AB32 ?	AB33 ?	AB34 ?	AB35 ?	AB36 ?	
AB37 ?	AB38 ?	AB39 ?	AB3A ?	AB3B ?	AB3C ?	AB3D ?	AB3E ?	AB3F ?	AB40 陂	
AB41 隹	AB42 雨	AB43 青	AB44 非	AB45 亟	AB46 亭	AB47 亮	AB48 信	AB49 侵	AB4A 侯	
AB4B 便	AB4C 俠	AB4D 俑	AB4E 俏	AB4F 保	AB50 促	AB51 侶	AB52 俘	AB53 俟	AB54 俊	
AB55 俗	AB56 侮	AB57 俐	AB58 俄	AB59 係	AB5A 俚	AB5B 俎	AB5C 俞	AB5D 侷	AB5E 兗	
AB5F 冒	AB60 冑	AB61 冠	AB62 剎	AB63 剃	AB64 削	AB65 前	AB66 剌	AB67 剋	AB68 則	
AB69 勇	AB6A 勉	AB6B 勃	AB6C 勁	AB6D 匍	AB6E 南	AB6F 卻	AB70 厚	AB71 叛	AB72 咬	
AB73 哀	AB74 咨	AB75 哎	AB76 哉	AB77 咸	AB78 咦	AB79 咳	AB7A 哇	AB7B 哂	AB7C 咽	
AB7D 咪	AB7E 品	AB7F ?	AB80 ?	AB81 ?	AB82 ?	AB83 ?	AB84 ?	AB85 ?	AB86 ?	
AB87 ?	AB88 ?	AB89 ?	AB8A ?	AB8B ?	AB8C ?	AB8D ?	AB8E ?	AB8F ?	AB90 ?	
AB91 ?	AB92 ?	AB93 ?	AB94 ?	AB95 ?	AB96 ?	AB97 ?	AB98 ?	AB99 ?	AB9A ?	
AB9B ?	AB9C ?	AB9D ?	AB9E ?	AB9F ?	ABA0 ?	ABA1 哄	ABA2 哈	ABA3 咯	ABA4 咫	
ABA5 咱	ABA6 咻	ABA7 咩	ABA8 咧	ABA9 咿	ABAA 囿	ABAB 垂	ABAC 型	ABAD 垠	ABAE 垣	
ABAF 垢	ABB0 城	ABB1 垮	ABB2 垓	ABB3 奕	ABB4 契	ABB5 奏	ABB6 奎	ABB7 奐	ABB8 姜	
ABB9 姘	ABBA 姿	ABBB 姣	ABBC 姨	ABBD 娃	ABBE 姥	ABBF 姪	ABC0 姚	ABC1 姦	ABC2 威	
ABC3 姻	ABC4 孩	ABC5 宣	ABC6 宦	ABC7 室	ABC8 客	ABC9 宥	ABCA 封	ABCB 屎	ABCC 屏	
ABCD 屍	ABCE 屋	ABCF 峙	ABD0 峒	ABD1 巷	ABD2 帝	ABD3 帥	ABD4 帟	ABD5 幽	ABD6 庠	
ABD7 度	ABD8 建	ABD9 弈	ABDA 弭	ABDB 彥	ABDC 很	ABDD 待	ABDE 徊	ABDF 律	ABE0 徇	
ABE1 後	ABE2 徉	ABE3 怒	ABE4 思	ABE5 怠	ABE6 急	ABE7 怎	ABE8 怨	ABE9 恍	ABEA 恰	
ABEB 恨	ABEC 恢	ABED 恆	ABEE 恃	ABEF 恬	ABF0 恫	ABF1 恪	ABF2 恤	ABF3 扁	ABF4 拜	
ABF5 挖	ABF6 按	ABF7 拼	ABF8 拭	ABF9 持	ABFA 拮	ABFB 拽	ABFC 指	ABFD 拱	ABFE 拷	
ABFF ?	AC00 ? 	AC01 ?	AC02 ?	AC03 ?	AC04 ?	AC05 ?	AC06 ?	AC07 ?	AC08 ?	
AC09 ?	AC0A ?
	AC0B ?	AC0C ?	AC0D ?	AC0E ?	AC0F ?	AC10 ?	AC11 ?	AC12 ?	
